feature,attribution
X10,1.2590919862195975
X1,1.1163558711594301
X5,0.48558963179496795
X6,0.42501044442892677
X3,0.38783831990493678
X12,0.38391073420972566
X8,0.300086802985604
X4,0.26465541535920339
X9,0.16025712733416775
X7,0.11311857551467734
X11,0.0921155188314924
X2,0.012542895678912412
